studentId,questionId,strategy,complexity,predictedProbability,actualResult,masteryBefore,masteryAfter,timestamp,topic
sim_student_UOK_0,cmoe14z1k00021yf6s97h5smx,UOK,0.4000,0.4864,1,0.5000,0.5300,1777429141805,二次函数
sim_student_UOK_0,cmoepkdyo001d1ywasexln4mo,UOK,0.7250,0.4851,0,0.5000,0.4900,1777429141812,勾股定理应用题
sim_student_UOK_0,cmof4xabg00801ycv67neuvw1,UOK,0.6000,0.4863,0,0.5000,0.4900,1777429141818,四边形周长计算
sim_student_UOK_0,cmof6fvvq00161y1byxtw9m5k,UOK,0.5672,0.4848,0,0.5000,0.4900,1777429141824,最简二次根式
sim_student_UOK_0,cmoekmv8u00091ywao0481hc7,UOK,0.5672,0.4807,1,0.5000,0.5300,1777429141829,二次根式的乘法法则
sim_student_UOK_0,cmof6lngx002i1y1b90eywpww,UOK,0.5672,0.4811,0,0.5000,0.4900,1777429141834,二次根式的除法法则
sim_student_UOK_0,cmocndgkq00021ysua6i2mfot,UOK,0.5250,0.4829,0,0.5300,0.5200,1777429141839,二次函数
sim_student_UOK_0,cmocndgks00051ysu6vh2zcqx,UOK,0.5250,0.4805,0,0.5200,0.5100,1777429141844,二次函数
sim_student_UOK_0,cmocndgku000a1ysuvodq56vc,UOK,0.4750,0.4777,0,0.5100,0.5000,1777429141849,二次函数
sim_student_UOK_0,cmocndgkv000d1ysu0xa2o9uo,UOK,0.4600,0.4736,1,0.5000,0.5300,1777429141854,二次函数
sim_student_UOK_0,cmocndgkx000i1ysuj2y5egyh,UOK,0.5250,0.4763,1,0.5300,0.5600,1777429141859,二次函数
sim_student_UOK_0,cmocndgky000l1ysu79joyrmf,UOK,0.5000,0.4776,0,0.5600,0.5500,1777429141864,二次函数
sim_student_UOK_0,cmocndgkz000q1ysu13n08jqu,UOK,0.4250,0.4755,1,0.5500,0.5800,1777429141869,二次函数
sim_student_UOK_0,cmocndgl0000t1ysu444g7f0i,UOK,0.4500,0.4815,1,0.5800,0.6100,1777429141874,二次函数
sim_student_UOK_0,cmocndgl2000y1ysuani9xrmc,UOK,0.4500,0.4818,0,0.6100,0.6000,1777429141879,二次函数
sim_student_UOK_0,cmocndgl200111ysuftdokz3x,UOK,0.5000,0.4774,1,0.6000,0.6300,1777429141884,二次函数
sim_student_UOK_0,cmocndgl400161ysu0aa39j0f,UOK,0.4750,0.4856,1,0.6300,0.6600,1777429141889,二次函数
sim_student_UOK_0,cmocndgl500191ysudcams352,UOK,0.5000,0.4851,0,0.6600,0.6500,1777429141893,二次函数
sim_student_UOK_0,cmocndjjy00041yq3w7nu5rgz,UOK,0.1000,0.4948,1,0.6500,0.6800,1777429141898,二次函数
sim_student_UOK_0,cmod3hysx00001y8iotl1lbr3,UOK,0.4000,0.4854,0,0.5000,0.4900,1777429141903,E2E知识点-二次函数
sim_student_UOK_0,cmod3peoj00091y8i57ujk89j,UOK,0.5250,0.4793,0,0.4900,0.4800,1777429141908,E2E知识点-二次函数
sim_student_UOK_0,cmod3pllg000k1y8idzo5znhu,UOK,0.4000,0.4829,1,0.4800,0.5100,1777429141912,E2E知识点-二次函数
sim_student_UOK_0,cmod3qivr000x1y8i0xfpjz4y,UOK,0.4500,0.4876,1,0.5100,0.5400,1777429141917,E2E知识点-二次函数
sim_student_UOK_0,cmod3vxxn001a1y8ix9yactjb,UOK,0.5000,0.4852,0,0.5400,0.5300,1777429141922,E2E知识点-二次函数
sim_student_UOK_0,cmod3wo2o001n1y8i23wr0ajs,UOK,0.3750,0.4899,0,0.5300,0.5200,1777429141927,E2E知识点-二次函数
