cmocndgkr00031ysug9toh7a5|cmocndgkq00021ysua6i2mfot|1|-b/(2a)|{"type":"v2","answerMode":"number","expectedAnswer":{"type":"number","value":0},"ui":{"instruction":"-b/(2a)","hint":"计算顶点横坐标","inputPlaceholder":""},"keyboard":{"type":"numeric","extraKeys":[]}}|计算顶点横坐标|numeric||0.01|v2
cmocndgkr00041ysu0yx69wz9|cmocndgkq00021ysua6i2mfot|2|f(-b/(2a))|{"type":"v2","answerMode":"number","expectedAnswer":{"type":"number","value":0},"ui":{"instruction":"f(-b/(2a))","hint":"代入求顶点纵坐标","inputPlaceholder":""},"keyboard":{"type":"numeric","extraKeys":[]}}|代入求顶点纵坐标|numeric||0.01|v2
cmocndgkt00061ysu26r0rua8|cmocndgks00051ysu6vh2zcqx|1|-b/(2a)|{"type":"v2","answerMode":"number","expectedAnswer":{"type":"number","value":0},"ui":{"instruction":"-b/(2a)","hint":"计算顶点横坐标","inputPlaceholder":""},"keyboard":{"type":"numeric","extraKeys":[]}}|计算顶点横坐标|numeric||0.01|v2
cmocndgkt00071ysunmibpmj2|cmocndgks00051ysu6vh2zcqx|2|f(-b/(2a))|{"type":"v2","answerMode":"number","expectedAnswer":{"type":"number","value":0},"ui":{"instruction":"f(-b/(2a))","hint":"代入求顶点纵坐标","inputPlaceholder":""},"keyboard":{"type":"numeric","extraKeys":[]}}|代入求顶点纵坐标|numeric||0.01|v2
cmocndgkv000b1ysux7darg4r|cmocndgku000a1ysuvodq56vc|1|-b/(2a)|{"type":"v2","answerMode":"number","expectedAnswer":{"type":"number","value":0},"ui":{"instruction":"-b/(2a)","hint":"计算顶点横坐标","inputPlaceholder":""},"keyboard":{"type":"numeric","extraKeys":[]}}|计算顶点横坐标|numeric||0.01|v2
cmocndgkv000c1ysujhuoh3gh|cmocndgku000a1ysuvodq56vc|2|f(-b/(2a))|{"type":"v2","answerMode":"number","expectedAnswer":{"type":"number","value":0},"ui":{"instruction":"f(-b/(2a))","hint":"代入求顶点纵坐标","inputPlaceholder":""},"keyboard":{"type":"numeric","extraKeys":[]}}|代入求顶点纵坐标|numeric||0.01|v2
cmocndgkw000e1ysu5cbf2s7q|cmocndgkv000d1ysu0xa2o9uo|1|-b/(2a)|{"type":"v2","answerMode":"number","expectedAnswer":{"type":"number","value":0},"ui":{"instruction":"-b/(2a)","hint":"计算顶点横坐标","inputPlaceholder":""},"keyboard":{"type":"numeric","extraKeys":[]}}|计算顶点横坐标|numeric||0.01|v2
cmocndgkw000f1ysuw6fijb0j|cmocndgkv000d1ysu0xa2o9uo|2|f(-b/(2a))|{"type":"v2","answerMode":"number","expectedAnswer":{"type":"number","value":0},"ui":{"instruction":"f(-b/(2a))","hint":"代入求顶点纵坐标","inputPlaceholder":""},"keyboard":{"type":"numeric","extraKeys":[]}}|代入求顶点纵坐标|numeric||0.01|v2
cmocndgkx000j1ysuhd5f3m51|cmocndgkx000i1ysuj2y5egyh|1|-b/(2a)|{"type":"v2","answerMode":"number","expectedAnswer":{"type":"number","value":0},"ui":{"instruction":"-b/(2a)","hint":"计算顶点横坐标","inputPlaceholder":""},"keyboard":{"type":"numeric","extraKeys":[]}}|计算顶点横坐标|numeric||0.01|v2
cmocndgkx000k1ysua9ravist|cmocndgkx000i1ysuj2y5egyh|2|f(-b/(2a))|{"type":"v2","answerMode":"number","expectedAnswer":{"type":"number","value":0},"ui":{"instruction":"f(-b/(2a))","hint":"代入求顶点纵坐标","inputPlaceholder":""},"keyboard":{"type":"numeric","extraKeys":[]}}|代入求顶点纵坐标|numeric||0.01|v2
cmocndgky000m1ysugvefa8m4|cmocndgky000l1ysu79joyrmf|1|-b/(2a)|{"type":"v2","answerMode":"number","expectedAnswer":{"type":"number","value":0},"ui":{"instruction":"-b/(2a)","hint":"计算顶点横坐标","inputPlaceholder":""},"keyboard":{"type":"numeric","extraKeys":[]}}|计算顶点横坐标|numeric||0.01|v2
cmocndgky000n1ysud997af5s|cmocndgky000l1ysu79joyrmf|2|f(-b/(2a))|{"type":"v2","answerMode":"number","expectedAnswer":{"type":"number","value":0},"ui":{"instruction":"f(-b/(2a))","hint":"代入求顶点纵坐标","inputPlaceholder":""},"keyboard":{"type":"numeric","extraKeys":[]}}|代入求顶点纵坐标|numeric||0.01|v2
cmocndgl0000r1ysux7ynuth7|cmocndgkz000q1ysu13n08jqu|1|-b/(2a)|{"type":"v2","answerMode":"number","expectedAnswer":{"type":"number","value":0},"ui":{"instruction":"-b/(2a)","hint":"计算顶点横坐标","inputPlaceholder":""},"keyboard":{"type":"numeric","extraKeys":[]}}|计算顶点横坐标|numeric||0.01|v2
cmocndgl0000s1ysuvdgiv227|cmocndgkz000q1ysu13n08jqu|2|f(-b/(2a))|{"type":"v2","answerMode":"number","expectedAnswer":{"type":"number","value":0},"ui":{"instruction":"f(-b/(2a))","hint":"代入求顶点纵坐标","inputPlaceholder":""},"keyboard":{"type":"numeric","extraKeys":[]}}|代入求顶点纵坐标|numeric||0.01|v2
cmocndgl1000u1ysue29pr9r1|cmocndgl0000t1ysu444g7f0i|1|-b/(2a)|{"type":"v2","answerMode":"number","expectedAnswer":{"type":"number","value":0},"ui":{"instruction":"-b/(2a)","hint":"计算顶点横坐标","inputPlaceholder":""},"keyboard":{"type":"numeric","extraKeys":[]}}|计算顶点横坐标|numeric||0.01|v2
cmocndgl1000v1ysuvwosfyd2|cmocndgl0000t1ysu444g7f0i|2|f(-b/(2a))|{"type":"v2","answerMode":"number","expectedAnswer":{"type":"number","value":0},"ui":{"instruction":"f(-b/(2a))","hint":"代入求顶点纵坐标","inputPlaceholder":""},"keyboard":{"type":"numeric","extraKeys":[]}}|代入求顶点纵坐标|numeric||0.01|v2
cmocndgl2000z1ysumwwh9y29|cmocndgl2000y1ysuani9xrmc|1|-b/(2a)|{"type":"v2","answerMode":"number","expectedAnswer":{"type":"number","value":0},"ui":{"instruction":"-b/(2a)","hint":"计算顶点横坐标","inputPlaceholder":""},"keyboard":{"type":"numeric","extraKeys":[]}}|计算顶点横坐标|numeric||0.01|v2
