cmoc8b6wg00181yzu6m8d42j7|cmobpttpa00041yzurzuw0s5s|cmobqk1vz000v1yzux9qtzxt3|E2E知识点-二次函数|15|1|active|1776993939376|1776993939376|
cmoe04hbe00031y13xtg225uk|cmobn13dw00001yazwxsbc5sg-chapter-1|cmoe04hbd00011y13ikvyogkw|一元一次方程|0|1|active|1777101121707|1777101121707|
cmoe04hbg00061y13k103etq8|cmobn13dw00001yazwxsbc5sg-chapter-1|cmoe04hbf00041y13q8lhbabt|勾股定理|0|1|active|1777101121708|1777101121708|
cmoe04hbh00091y13m1cpke21|cmobn13dw00001yazwxsbc5sg-chapter-1|cmoe04hbg00071y136ebuccfc|二次函数|0|1|active|1777101121709|1777101121709|
cmoe04hbi000c1y131nekkdu7|cmobn13dw00001yazwxsbc5sg-chapter-1|cmoe04hbh000a1y13zwrk575i|概率统计|0|1|active|1777101121710|1777101121710|
cmoe9ylnq001l1yejvjsk54rz|cmobpttpa00041yzurzuw0s5s|cmobqk1vz000v1yzux9qtzxt3|E2E知识点-二次函数|15|1|active|1777117643558|1777117643558|
kp16-1-definition|ch16-quadratic-radical|concept-quadratic-radical|二次根式的定义|1|1|active|1777132309234|1777132330925|
kp16-2-property|ch16-quadratic-radical|concept-quadratic-radical|二次根式的性质|2|1|active|1777132309235|1777132330926|
kp16-3-simplify|ch16-quadratic-radical|concept-quadratic-radical|最简二次根式|3|1|active|1777132309235|1777132330926|
kp16-4-multiply|ch16-quadratic-radical|concept-quadratic-radical|二次根式的乘法法则|4|1|active|1777132309236|1777132330927|
kp16-5-divide|ch16-quadratic-radical|concept-quadratic-radical|二次根式的除法法则|5|1|active|1777132309237|1777132330928|
kp16-6-add-subtract|ch16-quadratic-radical|concept-quadratic-radical|二次根式的加减运算|6|1|active|1777132309238|1777132330929|
kp17-1-theorem|ch17-pythagorean|concept-pythagorean|勾股定理|1|1|active|1777132309240|1777132330930|
kp17-2-folding|ch17-pythagorean|concept-pythagorean|勾股定理折叠问题|2|1|active|1777132309240|1777132330931|
kp17-3-converse|ch17-pythagorean|concept-pythagorean|勾股定理逆定理|3|1|active|1777132309241|1777132330931|
kp17-4-word-problem|ch17-pythagorean|concept-pythagorean|勾股定理应用题|4|1|active|1777132309241|1777132330932|
kp18-1-property|ch18-quadrilateral|concept-quadrilateral|平行四边形性质|1|1|active|1777132309243|1777132330933|
kp18-2-verify|ch18-quadrilateral|concept-quadrilateral|平行四边形判定|2|1|active|1777132309243|1777132330934|
kp18-3-rectangle-property|ch18-quadrilateral|concept-quadrilateral|矩形性质|3|1|active|1777132309244|1777132330934|
kp18-4-rectangle-verify|ch18-quadrilateral|concept-quadrilateral|矩形判定|4|1|active|1777132309245|1777132330935|
kp18-5-rhombus-property|ch18-quadrilateral|concept-quadrilateral|菱形性质|5|1|active|1777132309245|1777132330936|
kp18-6-rhombus-verify|ch18-quadrilateral|concept-quadrilateral|菱形判定|6|1|active|1777132309246|1777132330936|
kp18-7-square-property|ch18-quadrilateral|concept-quadrilateral|正方形性质|7|1|active|1777132309246|1777132330937|
kp18-8-square-verify|ch18-quadrilateral|concept-quadrilateral|正方形判定|8|1|active|1777132309247|1777132330937|
kp18-9-perimeter|ch18-quadrilateral|concept-quadrilateral|四边形周长计算|9|1|active|1777132309247|1777132330938|
kp18-10-area|ch18-quadrilateral|concept-quadrilateral|四边形面积计算|10|1|active|1777132309248|1777132330938|
kp18-11-trapezoid|ch18-quadrilateral|concept-quadrilateral|梯形性质|11|1|active|1777132309248|1777132330939|
kp19-1-identify|ch19-quadratic-equation|concept-quadratic-equation|一元二次方程的识别|1|1|active|1777132309250|1777132330940|
kp19-2-direct-root|ch19-quadratic-equation|concept-quadratic-equation|直接开平方法|2|1|active|1777132309250|1777132330941|
kp19-3-complete-square|ch19-quadratic-equation|concept-quadratic-equation|配方法|3|1|active|1777132309251|1777132330942|
kp19-4-formula|ch19-quadratic-equation|concept-quadratic-equation|公式法|4|1|active|1777132309251|1777132330942|
kp19-5-factorize|ch19-quadratic-equation|concept-quadratic-equation|因式分解法|5|1|active|1777132309252|1777132330943|
kp19-6-growth|ch19-quadratic-equation|concept-quadratic-equation|一元二次方程增长率应用|6|1|active|1777132309252|1777132330943|
kp19-7-area|ch19-quadratic-equation|concept-quadratic-equation|一元二次方程面积应用|7|1|active|1777132309253|1777132330943|
kp20-1-central-tendency|ch20-data-analysis|concept-data-analysis|集中趋势|1|1|active|1777132309254|1777132330945|
kp20-2-variance|ch20-data-analysis|concept-data-analysis|方差|2|1|active|1777132309255|1777132330946|
kp20-3-stddev|ch20-data-analysis|concept-data-analysis|标准差|3|1|active|1777132309256|1777132330946|
cmoek73hl001b1yctu0igi3sm|cmobpttpa00041yzurzuw0s5s|cmobqk1vz000v1yzux9qtzxt3|E2E知识点-二次函数|15|1|active|1777134836073|1777134836073|
cmoek8n1r001q1yctp9zscv9v|cmobpttpa00041yzurzuw0s5s|cmobqk1vz000v1yzux9qtzxt3|E2E知识点-二次函数|15|1|active|1777134908079|1777134908079|
cmoet9fn7005j1ywasiwz9lao|cmobpttpa00041yzurzuw0s5s|cmobqk1vz000v1yzux9qtzxt3|E2E知识点-二次函数|15|1|active|1777150061683|1777150061683|
